,A,CS2,C_WP,DER,DP,E,G2,GS2,INN,PB,PO,SB2,SBPCT,TC,team,year
0,1033,15,21,.706,114,43,104,936,8313.0,3,2771,20,.571,3847,St. Louis Cardinals,2019
1,1010,21,35,.699,83,45,105,945,8538.0,2,2846,26,.553,3901,Arizona Diamondbacks,2019
2,990,15,34,.679,105,45,106,954,8421.0,6,2807,38,.717,3842,Kansas City Royals,2019
3,875,13,31,.725,54,50,106,954,8589.0,6,2863,55,.809,3788,Houston Astros,2019
4,975,23,40,.704,92,53,107,963,8760.0,11,2920,46,.667,3948,Tampa Bay Rays,2019
5,951,31,47,.712,71,57,106,954,8568.0,14,2872,62,.667,3880,Oakland Athletics,2019
6,970,11,47,.688,99,57,105,945,8475.0,17,2825,56,.836,3852,Atlanta Braves,2019
7,863,16,47,.707,89,54,102,918,8175.0,9,2725,33,.673,3642,Miami Marlins,2019
8,877,19,28,.703,68,56,104,936,8325.0,1,2775,38,.667,3708,Cleveland Indians,2019
9,902,22,69,.700,75,57,105,945,8418.0,8,2806,70,.761,3765,Los Angeles Angels,2019
10,933,23,24,.682,90,59,106,954,8631.0,7,2877,56,.709,3869,Milwaukee Brewers,2019
11,929,14,22,.694,96,57,102,918,8139.0,7,2713,53,.791,3699,Cincinnati Reds,2019
12,999,27,47,.681,92,60,106,954,8460.0,7,2820,45,.625,3879,Toronto Blue Jays,2019
13,1122,17,44,.674,106,63,105,945,8478.0,5,2826,48,.738,4011,Colorado Rockies,2019
14,865,19,32,.680,72,59,104,936,8277.0,12,2759,53,.736,3683,Washington Nationals,2019
15,995,30,27,.690,82,63,104,936,8397.0,10,2799,44,.595,3857,Philadelphia Phillies,2019
16,937,19,53,.674,70,64,106,954,8643.0,9,2881,42,.689,3882,Boston Red Sox,2019
17,990,23,30,.693,88,65,104,936,8532.0,3,2844,63,.733,3899,San Francisco Giants,2019
18,854,13,45,.677,100,62,104,936,8334.0,9,2778,57,.814,3694,Texas Rangers,2019
19,1111,14,41,.698,100,71,104,936,8370.0,8,2790,52,.788,3972,Chicago Cubs,2019
