,AO1,BB1,BK,CG,CS1,ER,ERA,G1,GF,GIDP,GO1,GO_AO1,GS,H1,HB,HLD,HR1,IBB1,IP,L,NP,OBP1,OPS,PK,R1,SB1,SHO,SLG1,SO1,SV,SVO,TBF,W,WHIP,WP,WPCT,team,year
0,829,358,4,1,17,574,5.48,105,104,90,1073,1.29,105,1028,34,44,159,22,942.0,56,15864,.343,.823,3,607,48,4,.479,840,19,34,4162,49,1.47,44,.467,Colorado Rockies,2019
1,900,325,5,0,26,517,5.19,101,100,61,897,1.00,101,963,39,43,152,16,897.0,70,15191,.337,.812,8,569,67,2,.474,824,22,38,3949,30,1.44,37,.300,Detroit Tigers,2019
2,913,378,3,1,15,516,4.96,106,105,95,971,1.06,106,988,59,42,135,16,935.2,67,16058,.346,.793,3,543,38,5,.447,816,24,41,4125,39,1.46,34,.368,Kansas City Royals,2019
3,956,360,2,3,13,517,4.98,105,102,92,855,0.89,105,978,48,35,158,6,934.0,52,16135,.339,.803,9,555,57,4,.464,899,22,31,4098,53,1.43,45,.505,Texas Rangers,2019
4,1001,337,3,2,14,554,5.21,108,106,89,988,0.99,108,1015,33,39,184,18,957.2,63,16056,.330,.809,5,630,55,2,.479,829,22,40,4204,45,1.41,45,.417,Seattle Mariners,2019
5,1007,372,5,0,19,561,5.52,103,103,79,879,0.87,103,960,49,33,194,4,915.0,69,16309,.341,.832,2,626,55,4,.492,792,19,32,4061,34,1.46,52,.330,Baltimore Orioles,2019
6,876,362,3,3,21,493,5.02,102,99,94,881,1.01,102,906,34,39,148,15,884.1,56,15110,.339,.796,4,531,49,4,.457,796,23,31,3857,46,1.43,43,.451,Chicago White Sox,2019
7,919,390,3,1,27,505,4.84,106,105,73,941,1.02,106,973,39,41,147,19,940.0,66,16114,.340,.794,10,544,45,4,.454,866,18,25,4131,40,1.45,47,.377,Toronto Blue Jays,2019
8,887,358,6,3,30,482,4.65,104,101,73,930,1.05,104,949,48,61,174,30,933.0,50,15665,.336,.797,7,521,44,6,.461,889,25,38,4061,54,1.40,27,.519,Philadelphia Phillies,2019
9,899,375,1,1,21,510,4.96,104,103,67,895,1.00,104,939,48,38,154,20,926.0,58,15893,.337,.798,5,552,45,5,.461,915,23,41,4073,46,1.42,31,.442,Pittsburgh Pirates,2019
10,910,342,1,3,15,472,4.54,104,101,74,864,0.95,104,923,43,40,135,31,935.2,55,15975,.326,.757,2,507,87,6,.432,960,25,46,4042,49,1.35,28,.471,New York Mets,2019
11,915,366,2,0,23,492,4.62,106,106,74,884,0.97,106,938,36,59,144,21,959.0,50,16516,.327,.757,3,527,56,4,.431,989,30,43,4130,56,1.36,24,.528,Milwaukee Brewers,2019
12,883,383,2,0,11,441,4.21,105,105,84,953,1.08,105,917,49,68,130,28,941.2,43,15706,.332,.750,4,499,56,5,.418,904,29,46,4090,62,1.38,47,.590,Atlanta Braves,2019
13,876,314,2,1,14,451,4.38,104,103,76,862,0.98,104,907,28,76,164,7,926.2,38,15551,.316,.762,2,485,54,5,.446,968,35,53,3959,66,1.32,32,.635,New York Yankees,2019
14,853,363,4,1,19,495,4.64,106,105,59,889,1.04,106,934,53,57,139,16,960.1,47,16941,.325,.757,1,538,42,5,.432,1073,21,39,4166,59,1.35,53,.557,Boston Red Sox,2019
15,934,298,1,0,12,427,4.08,104,104,70,908,0.97,104,911,45,49,132,5,941.0,41,15585,.314,.730,6,478,45,7,.416,907,29,41,4003,63,1.28,38,.606,Minnesota Twins,2019
16,933,323,3,1,25,461,4.34,105,104,74,923,0.99,105,918,48,55,146,21,956.0,52,15910,.319,.747,5,502,63,4,.428,927,28,37,4073,53,1.30,30,.505,San Francisco Giants,2019
17,890,280,4,0,14,461,4.49,104,104,57,924,1.04,104,895,43,64,142,12,925.0,55,15186,.310,.741,5,498,34,4,.430,917,36,54,3949,49,1.27,35,.471,San Diego Padres,2019
18,989,379,4,0,22,511,4.92,105,105,65,814,0.82,105,899,45,58,164,4,935.1,51,16364,.326,.771,10,530,70,2,.444,933,25,35,4060,54,1.37,69,.514,Los Angeles Angels,2019
19,802,348,1,1,14,418,4.05,104,103,95,1003,1.25,104,870,46,51,129,12,930.0,49,15442,.321,.735,8,455,52,7,.414,884,25,45,3957,55,1.31,41,.529,Chicago Cubs,2019
